psraid,sample,int_date,lang,version,form,llitext1,q1,eminuse,intmob,intfreq,device1a,smart1,snsint2,acct1a,acct1b,acct1c,acct1d,acct2,acct3a,acct3b,acct3c,acct3d,acct3e,acct3f,acct3g,secur1,secur2a,secur2b,secur2c,secur2d,secur2e,secur2f,secur2g,habits1a,habits1b,habits1c,habits1d,habits1e,habits1f,habits2,habits3,habits4a,habits4b,habits4c,habits5,habits6,habits7,habits8,habits9,habits10,habits11,habits12,wifi1,wifi2a,wifi2b,wifi2c,wifi2d,policy1,policy2a,policy2b,policy3,policy4,policy5,policy6a,policy6b,policy6c,policy6d,policy6e,sex,age,educ2,hisp,race3m1,race3m2,race3m3,race3m4,birth_hisp,marital,par,emplnw3,party,partyln,ideo,inc,hh1,hh3,ql1a,qc1,habits1fos,habits9os,raceos,usr,cregion,state,density,race3m1orig,race3m2orig,race3m3orig,race3m4orig,origraceos,i_usernw2,SmartPhone,racecmb,racethn,racethn2,racethn3,hhcell,genage2016,child,partysum,partyideo,habits1cnt,iphoneuse,hphoneuse,recage,receduc,adults,ll,cp,weight,standwt
100990,1,42716,1,1,2,2,2,1,1,2,1,1,1,2,2,2,2,2,1,2,2,2,2,5,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2, ,1,2,2,2,2,2,2,2, ,1,1,2,2, , , , ,1,3,3,2,2,3,3,3,3,3,3,2,24,2,1,1, , , ,1,6,1,3,3,9,3,1,3,2, , , , , ,R,2,26,2,1, , , , ,1,1,1,3,3,3,1,1,1,9,3,1,2,2,1,1,2,1,1,3.17647058823529,1.10919223312629
100999,1,42716,1,1,2,1,8,1,1,1,1,1,1,1,1,2,1,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2, ,2,2,2,2,2,2,2,1,2,3,2,1,1,2,2,1,1,2,2,2,8,2,2,3,3,1,2,3,1,99,8,2,1, , , , ,1,2,1,3,8,2,7,3,3, , , , , ,R,1,36,1,1, , , , ,1,1,1,1,1,1,1,9,0,9,3,1,2,2,9,3,3,1,1,1.47058823529412,.513514922743655
101002,1,42716,1,1,1,1,2,1,1,2,1,1,1,2,2,2,2,1,4,4,3,4,3,5,3,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,1,2,1,2, ,3,2,2,2, , , , ,1,2,2,3,3,2,2,1,1,3,1,2,20,5,2,1, , , , ,1,1,1,1, ,1,7,3,2, , , , , ,R,2,39,2,1, , , , ,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,4.08823529411765,1.42757148522736
101010,1,42716,1,1,1,2,2,2,2, ,2, , , , , , , , , , , ,4,4,3,2,2,2,1, , ,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,4,8,2,2,3,2,3,3,2,59,8,2,1, , , , ,3,2,3,3,2,5,1,1, , , , , , ,R,1,23,1,1, , , , ,0,3,1,1,1,1,0,3,0,2,3, ,1,1,5,3,1,1,0,2.17647058823529,.760002085660609
101011,1,42716,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,4,4,4,4,4,2,4,3,2,1,1,2,2,1,2,1,2,2,2,2,2, ,2,1,2,2,1,2,1,2, ,3,1,2,2, , , , ,1,1,1,4,4,4,3,2,3,3,3,2,51,4,1,7, , , ,1,1,2,3,4,8,8,6,4,4, , , , , ,U,3,47,2,7, , , , ,1,1,5,3,3,3,1,2,0,9,9,1,2,2,4,2,3,1,1,3.41176470588235,1.19135462076528
101015,1,42716,1,1,2,2,1,1,1,4,1,1,1,1,2,2,2,1,4,3,3,3,2,1,3,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,1,2,1,2,1,2,1,1,2,1,2,2, , , , ,1,2,2,2,1,3,1,1,1,1,1,2,58,4,2,1, , , , ,1,2,3,2, ,4,5,2,2, , , , , ,S,3,12,3,1, , , , ,1,1,1,1,1,1,1,3,0,2,5,2,2,2,5,2,2,1,1,1.79411764705882,.626488205747259
101017,1,42716,1,1,1,1,1,1,1,3,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,4,4,2,2,2, , , , ,1,3,3,2,2,2,3,3,1,3,3,1,18,3,2,9, , , , ,6,2,2,9,9,9,98,3,3, , , , , ,S,2,27,3,9, , , , ,1,1,9,9,9,9,1,1,0,9,9,2,2,2,1,1,3,1,1,4.29411764705882,1.49946357441147
101019,1,42716,1,1,1,2,1,1,1,2,1,1,2,1,1,2,2,2,1,1,1, ,1,1,1,3,2,2,2,2, ,2,2,2,1,2,2,2,2, ,2,2,2,2,2,2, ,2, ,2,1,2,2, , , , ,8,4,4,1,1,1,3,3,3,3,3,2,75,99,2,9, , , , ,1,2,3,9,9,9,1,2,2, , , , , ,U,2,19,3,9, , , , ,1,1,9,9,9,9,1,5,0,9,9,1,2,2,6,9,2,1,1,1.17647058823529,.410811938194924
101021,1,42716,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,2,2,2,3, ,2,2,2,2,2,1,1,2, ,2,2,2,1,2,1,1,2,5,1,2,2,1,2,1, , , , , , ,1,2,2, ,2,2,2,2,2,2,3,2,3,2,2,2,1,36,8,2,1, , , , ,1,1,1,3,1,1,6,8,2, , , , , ,R,2,18,2,1, , , , ,1,2,1,1,1,1,1,2,6,1,3,3,2,2,3,3,2,1,1,1.85294117647059,.647028802657005
101023,1,43016,1,1,1,1,1,2,1,2,1,8,2,1,2,2,2,1,2,2,2, ,2,2,5,3,2,2,2,2, ,2,2,1,2,2,2,2,2, ,2,2,2,2,2,2, , , , , , ,2, , , , ,2,3,3,2,2,2,3,3,3,3,3,1,77,3,1,1, , , ,1,5,2,3,3,9,3,4,1, , , , , , ,R,4,8,1,1, , , , ,1,2,1,3,3,3,1,5,0,9,3,1,2,2,6,1,1,1,1,2.97058823529412,1.03730014394218
